ID,name,count,CoCh,HoRatio,InchoRatio,PerTra,InPerTra
603619,中曼石油,1,0,1.08,-0.01,1.08,-0.01
300690,双一科技,1,0,1.00,0.66,1.01,0.66
300890,翔丰华,1,0,1.47,-0.37,1.99,-0.37
301286,侨源股份,1,1,0.65,0.65,7.72,7.72
002307,北新路桥,1,0,0.87,0.61,1.01,0.71
688278,特宝生物,1,1,0.79,0.79,1.45,1.45
600630,龙头股份,1,1,0.24,0.24,0.24,0.24
603015,弘讯科技,1,1,0.39,0.39,0.39,0.39
301228,实朴检测,1,0,0.17,0.02,0.74,0.06
301043,绿岛风,1,1,0.19,0.19,0.71,0.71
002816,和科达,1,1,0.77,0.77,0.77,0.77
300805,电声股份,1,-1,1.43,-0.40,4.73,-1.34
301023,江南奕帆,1,1,1.07,1.07,1.83,1.83
300570,太辰光,1,1,1.14,1.14,1.14,1.14
300047,天源迪科,1,0,0.31,0.00,0.31,0.00
605088,冠盛股份,1,0,2.07,1.46,4.46,3.15
300717,华信新材,1,1,0.46,0.46,0.46,0.46
600017,日照港,1,1,0.93,0.93,0.93,0.93
600963,岳阳林纸,1,0,0.50,0.00,0.51,0.00
300307,慈星股份,1,0,0.63,0.00,0.63,0.00
300235,方直科技,1,1,0.32,0.32,0.32,0.32
002890,弘宇股份,1,1,0.98,0.98,0.98,0.98
603826,坤彩科技,1,0,1.38,-0.06,1.38,-0.06
601615,明阳智能,1,1,1.63,1.63,1.75,1.75
002574,明牌珠宝,1,0,0.24,-0.23,0.24,-0.23
603038,华立股份,1,1,0.77,0.77,0.77,0.77
300866,安克创新,1,1,1.82,1.82,4.52,4.52
300563,神宇股份,1,0,0.63,0.33,0.63,0.33
300746,汉嘉设计,1,0,0.55,-0.29,0.55,-0.32
688520,神州细胞,1,0,0.46,0.00,2.19,0.00
300819,聚杰微纤,1,1,0.15,0.15,0.52,0.52
002350,北京科锐,1,1,0.36,0.36,0.36,0.36
300066,三川智慧,1,1,0.88,0.88,0.88,0.88
003011,海象新材,1,1,0.86,0.86,1.45,1.45
600633,浙数文化,1,0,0.71,0.07,0.71,0.07
002750,龙津药业,1,-1,0.18,-0.23,0.18,-0.23
301231,荣信文化,1,1,0.27,0.27,1.14,1.14
300771,智莱科技,1,1,0.47,0.47,0.47,0.47
300959,线上线下,1,-1,0.50,0.20,1.07,0.42
688247,宣泰医药,1,1,0.14,0.14,1.52,1.52
000155,川能动力,1,1,0.41,0.41,0.47,0.47
002545,东方铁塔,1,-2,0.67,-1.31,0.67,-1.34
603589,口子窖,1,0,4.89,0.20,4.89,0.20
688278,特宝生物,1,1,0.79,0.79,1.45,1.45
002112,三变科技,1,1,0.52,0.52,0.52,0.52
603813,原尚股份,1,-1,0.88,-0.37,1.05,-0.20
300548,博创科技,1,-1,2.63,-1.55,2.63,-1.56
300845,捷安高科,1,1,0.31,0.31,0.45,0.45
